State,District,AssessmentUnit,Rainfall_mm,GroundWaterAvailability_ham,ExtractionStage_Percent,ExtractionVolume_ha_m
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,,0,14875.419999999998,,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,,0,9911.130000000001,,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,,0,9717.960000000001,,
ANDHRA PRADESH,Alluri Sitharama Raju,,0,50117.560000000005,,
ANDHRA PRADESH,Anakapalli,,1205.7473777133002,1317238.5100000002,28.459971549454217,1097.549568
ANDHRA PRADESH,Ananthapuramu,,514.4061897518113,119813.93,29.079141064103236,851.04
ANDHRA PRADESH,Annamayya,,731.5034296205848,84922.95999999999,40.83254584951143,612.4663499999999
ANDHRA PRADESH,Bapatla,,811.1236974916511,791030.5099999999,26.24357900511273,2056.1748487500004
ANDHRA PRADESH,Chittoor,,1067.8172783371226,3304105.86,63.32206133879959,39.105643
ANDHRA PRADESH,East Godavari,,1168.3393487619032,107239.03,26.000971341192013,942.2500404
ANDHRA PRADESH,Eluru,,1047.4828962612285,4436043,16.163483957433474,3324.9485750000003
ANDHRA PRADESH,Guntur,,905.4088376458715,476056.55,21.08589644825269,2583.24006365
ANDHRA PRADESH,Kakinada,,1053.2808228816011,108765.89,16.315935758725697,1604.5551839999996
ANDHRA PRADESH,Konaseema,,1258.0160230228164,102277.33000000002,10.513923271168693,1310.2349519999998
ANDHRA PRADESH,Krishna,,1019.9986212313829,1202040.29,32.01151885743097,2032.9382120999996
ANDHRA PRADESH,Kurnool,,615.6851630437392,64668.8,25.786028736145024,1631.2988434999997
ANDHRA PRADESH,NTR,,1035.19988508195,69639.44,35.04017915972585,2351.1741952499997
ANDHRA PRADESH,Nandyal,,736.4318430136167,101057.79999999999,9.479823069659867,368.516
ANDHRA PRADESH,Palnadu,,774.3071773339465,1629099.07,29.50886559834831,3519.5285892
ANDHRA PRADESH,Parvathipuram Manyam,,1140.308129528414,89208.17000000001,16.703267255152983,308.65885950000006
ANDHRA PRADESH,Prakasam,,789.3013742124677,5636652.879999999,47.92526533558419,1306.5944906
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,,1081.2996762472312,1909264.4400000004,24.393414067374913,3914.5527360000006
ANDHRA PRADESH,Sri Sathya Sai,,0,2107639.98,,
ANDHRA PRADESH,Srikakulam,,1121.895615849359,95773.56,21.180504651225696,1851.3416432
ANDHRA PRADESH,Tirupati,,1155.5085012618179,3823454.07,39.58442308937744,173.86136800000003
ANDHRA PRADESH,Visakhapatnam,,0,760984.7999999999,,
ANDHRA PRADESH,Vizianagaram,,1090.9372952530848,2144868.45,16.192965269417076,516.9
